,latitude,longitude
177216,55.230633,11.765979
50956,55.200058,11.757636999999999
71541,56.256355000000006,10.160902
81287,55.362152,10.397117
465513,57.57096,9.962447000000001
73758,56.178165,10.534994000000001
479713,55.75694,12.037906
104536,56.954640000000005,8.699388
209322,55.6488,12.100634
430024,55.676125,12.57173
179988,55.453635999999996,10.640694
296301,54.74131,11.75623
268650,56.28109,10.324657
210297,55.645607,12.093815
446716,55.377883999999995,9.601309
322541,56.252777,10.018546
423173,57.02398,9.899782
74325,55.684493999999994,12.551713000000001
222260,56.601443999999994,9.682638
177316,56.193419999999996,10.121244
163127,56.451572,9.71871
405856,56.186226,9.514916
16801,55.140823,10.235215
319451,57.010619999999996,10.053069
257113,55.45573,10.551632000000001
24597,56.568798,8.187016999999999
361984,55.3386,10.319434
248019,55.70094,9.530175
130745,55.659946,12.470892999999998
493276,55.662693000000004,12.143554
480770,55.738,12.369514
496709,55.93561999999999,11.648217
28007,56.815822999999995,10.262606
199453,57.402004000000005,9.745987
222314,55.996563,10.237927
457630,55.727776,12.413795
38390,55.063187,10.585566
292089,57.1533,9.874138
15069,56.469753000000004,8.692798
120143,57.619209999999995,10.417036999999999
465342,55.881919999999994,12.344261
491778,56.130030000000005,10.506447999999999
302154,55.139545,15.026257999999999
212032,56.112576000000004,10.073324000000001
461260,54.756187,11.892000999999999
52538,55.51725,10.404614
445940,55.805378000000005,11.435806
285617,56.20318,10.224134
180004,56.27221,9.660173
431056,55.704556000000004,12.585663
369928,56.155525,10.182226
20587,55.98345,10.250371000000001
325063,57.046093000000006,9.944002000000001
157420,55.812397,11.935372000000001
43565,55.36039,10.506898
159368,55.498282999999994,12.163048
128501,55.438582999999994,10.550619000000001
80393,55.646915,12.616050999999999
325983,56.891098,9.829074
428094,55.670788,12.542973
424319,56.27544399999999,10.706175
103869,55.646687,12.4029045
242222,55.71311600000001,12.354669
205603,55.30185,10.451561
264138,56.84591999999999,9.212569
426558,55.64574399999999,11.161506
48431,56.620728,8.183317
222215,55.728184,9.155259
450350,55.665115,12.594871000000001
265586,55.681022999999996,12.49005
68042,56.198666,10.204778
197944,55.79029499999999,12.51308
188220,55.49010500000001,11.975201
391425,56.255897999999995,8.138311
302884,55.696135999999996,12.539928999999999
156074,55.879259999999995,11.663426
443194,55.563095,9.018828
260453,55.500232999999994,12.099605
208420,55.866314,9.903188
96182,55.45671,11.802657
194415,57.468674,9.973775
112618,56.161522,10.094058
32655,55.83556,12.568741000000001
254208,55.670185,12.489353999999999
480968,54.963425,8.701437
237698,55.899014,12.487575999999999
249331,56.093258,9.027687
235082,55.653927,12.619287
125326,55.475636,9.452929
29727,55.640892,12.636617
413149,56.190365,10.543571
29475,56.957203,8.704809
65753,55.841103000000004,12.573122999999999
319903,55.67926,12.513532000000001
252651,57.040356,9.939882
480786,56.424328,10.873959
65358,55.888905,9.5011215
285087,55.698161999999996,12.575284
48698,56.246605,10.481619
211021,56.132404,10.115217999999999
18629,56.29981,10.214335
115541,56.490543,8.605531
263439,55.63697,12.040411
235007,57.15400699999999,10.300559
175494,56.3631,9.699838
366077,54.663063,11.946469
197073,55.65456999999999,12.617774
348272,55.665276,12.103292
429301,55.68294,12.524528
135628,55.256767,14.795328
414446,55.66178000000001,11.405437
165102,55.623369999999994,12.568826
401524,56.010659999999994,12.045808000000001
1582,55.532419999999995,9.605455000000001
422161,56.16953,10.195851
174502,56.558795999999994,10.109815
367783,55.693633999999996,12.443902
428108,55.48605,12.081700999999999
190444,55.399235,11.351438
162243,54.7817,11.522426
313038,55.81754300000001,12.487214
200567,55.486526,9.479469
491916,55.21224599999999,14.969282000000002
398594,55.717006999999995,12.124527
227982,55.82116,12.019686
148907,55.614155000000004,12.596862
138718,56.46091,9.38359
325615,55.7076,12.568214
463577,55.427486,10.371177000000001
364026,56.140926,9.990250999999999
122210,55.443626,11.570828
97107,55.710995,12.558335000000001
115366,56.10595,10.083446499999999
291627,55.712467000000004,11.4903755
381571,55.58661,11.648538
110462,55.64029,11.435248
399032,55.841568,9.822123
91185,57.036148,8.504394
80244,56.07786,10.05218
315460,57.26984399999999,9.614495
477609,55.660793000000005,12.626416
135926,55.719832999999994,9.52571
348731,55.522580000000005,9.625959
347944,55.81504,8.607562
210094,55.02324,10.603946
307556,55.666702,12.581455
388002,56.31775699999999,10.512526
364571,55.356869999999994,9.496533
465260,55.61243,12.360591000000001
91129,54.975834,12.272019
326257,54.842068000000005,9.372848
470076,55.99233,12.559242999999999
406552,56.812785999999996,10.271453999999999
91227,55.662445,12.614587
170192,55.67345400000001,9.444258
384207,55.873577000000004,9.6122465
368210,57.042556999999995,9.966624000000001
28625,57.38365,9.910232
